Date,Symbol,Strategy,InstrumentToken,Qty,ENTRY_trigger_type,ENTRY_trigger_price,STOPLOSS_trigger_price,TARGET_trigger_price,R,ATR14,RSI14,RSI14_Status,GoldenBull_Flag,GoldenBear_Flag,GoldenBull_Date,GoldenBear_Date,Notes,Explanation,DecisionConfidence,CI_low,CI_high,OOS_WinRate,OOS_ExpectancyR,Trades_OOS,CoverageNote,Confidence_Reason,Audit_Flag,Issues,Fix_Suggestion,Pivot_Source,Entry_Logic,Stop_Logic,Target_Logic,Latest_Close,Latest_LTP,Delta_vs_Pivot_pct,Canonical_Entry,Canonical_Stop,Canonical_Target,ATR_Used,Risk_Amount
2025-12-22,DIVISLAB,CompositeScore,,5,BELOW,6408.34,6216.66,6791.7,2.0,127.786,54.01,Neutral (30–70),0,0,2024-08-28,2024-08-14,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=6408.34 (BELOW), Stop=6216.66 (ATR×1.5), Target=6791.70 (2R). RSI14=54.01 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (6478.50),Stop 1.5x ATR below entry (ATR=127.79),Target 2.0R from entry (Risk=191.70),6478.5,6478.5,-1.0829667361271877,6478.5,6286.8,6861.900000000001,127.78571428571428,191.69999999999982
2025-12-22,HINDALCO,CompositeScore,,39,BELOW,827.76,802.44,878.38,2.0,16.875,67.15,Neutral (30–70),0,0,2025-06-09,2025-06-03,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=827.76 (BELOW), Stop=802.44 (ATR×1.5), Target=878.38 (2R). RSI14=67.15 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.8% from canonical (852.00),Use canonical ENTRY=852.00 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (852.00),Stop 1.5x ATR below entry (ATR=16.88),Target 2.0R from entry (Risk=25.30),852.0,852.0,-2.8450704225352124,852.0,826.7,902.6,16.875000000000007,25.299999999999955
2025-12-22,UPL,CompositeScore,,41,BELOW,747.67,723.66,795.69,2.0,16.007,50.34,Neutral (30–70),0,0,2025-02-05,2024-11-13,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=747.67 (BELOW), Stop=723.66 (ATR×1.5), Target=795.69 (2R). RSI14=50.34 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (751.55),Stop 1.5x ATR below entry (ATR=16.01),Target 2.0R from entry (Risk=24.00),751.55,751.55,-0.5162663828088612,751.5500000000001,727.5500000000001,799.5500000000001,16.007142857142842,24.0
2025-12-22,WIPRO,CompositeScore,,175,BELOW,256.77,251.06,268.17,2.0,3.801,75.89,Overbought (≥70),0,0,2024-08-14,2025-04-09,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=256.77 (BELOW), Stop=251.06 (ATR×1.5), Target=268.17 (2R). RSI14=75.89 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 2.9% from canonical (264.45),Use canonical ENTRY=264.45 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (264.45),Stop 1.5x ATR below entry (ATR=3.80),Target 2.0R from entry (Risk=5.70),264.45,264.45,-2.904140669313673,264.45,258.75,275.85,3.800714285714282,5.699999999999989
2025-12-22,TATAMOTORS,CompositeScore,,104,BELOW,357.76,348.16,376.96,2.0,6.4,33.96,Neutral (30–70),0,0,2024-08-16,2024-09-11,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=357.76 (BELOW), Stop=348.16 (ATR×1.5), Target=376.96 (2R). RSI14=33.96 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (352.65),Stop 1.5x ATR below entry (ATR=6.40),Target 2.0R from entry (Risk=9.60),352.65,352.65,1.4490287820785521,352.65000000000003,343.05,371.85,6.400000000000001,9.600000000000023
2025-12-22,INFY,CompositeScore,,24,BELOW,1587.52,1547.4,1667.75,2.0,26.743,71.8,Overbought (≥70),0,0,2024-08-09,2025-03-03,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1587.52 (BELOW), Stop=1547.40 (ATR×1.5), Target=1667.75 (2R). RSI14=71.80 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 3.1% from canonical (1638.70),Use canonical ENTRY=1638.70 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1638.70),Stop 1.5x ATR below entry (ATR=26.74),Target 2.0R from entry (Risk=40.10),1638.7,1638.7,-3.1232074205162665,1638.7,1598.6000000000001,1718.9,26.742857142857183,40.09999999999991
2025-12-22,TECHM,CompositeScore,,26,BELOW,1552.87,1514.99,1628.64,2.0,25.257,74.27,Overbought (≥70),0,0,2025-06-20,2025-07-29,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=1552.87 (BELOW), Stop=1514.99 (ATR×1.5), Target=1628.64 (2R). RSI14=74.27 → Overbought (≥70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,FAIL,ENTRY deviates 3.7% from canonical (1612.50),Use canonical ENTRY=1612.50 from Close; Ensure all prices are tick-rounded to NSE EQ standard (₹0.05),Close,Entry at Close (1612.50),Stop 1.5x ATR below entry (ATR=25.26),Target 2.0R from entry (Risk=37.90),1612.5,1612.5,-3.697984496124038,1612.5,1574.6000000000001,1688.3000000000002,25.257142857142885,37.899999999999864
2025-12-22,ASIANPAINT,CompositeScore,,12,BELOW,2811.98,2731.69,2972.57,2.0,53.529,41.96,Neutral (30–70),0,0,2025-11-07,2025-09-26,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=2811.98 (BELOW), Stop=2731.69 (ATR×1.5), Target=2972.57 (2R). RSI14=41.96 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (2799.90),Stop 1.5x ATR below entry (ATR=53.53),Target 2.0R from entry (Risk=80.30),2799.9,2799.9,0.43144398014214536,2799.9,2719.6000000000004,2960.5,53.52857142857147,80.29999999999973
2025-12-22,INDUSINDBK,CompositeScore,,34,BELOW,841.03,811.75,899.58,2.0,19.518,48.96,Neutral (30–70),0,0,2024-08-16,2024-10-25,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=841.03 (BELOW), Stop=811.75 (ATR×1.5), Target=899.58 (2R). RSI14=48.96 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (844.70),Stop 1.5x ATR below entry (ATR=19.52),Target 2.0R from entry (Risk=29.30),844.7,844.7,-0.4344737776725551,844.7,815.4000000000001,903.3000000000001,19.51785714285715,29.299999999999955
2025-12-22,MARUTI,CompositeScore,,3,BELOW,16199.14,15868.92,16859.57,2.0,220.143,58.77,Neutral (30–70),0,0,2025-05-09,2025-03-20,,"Selected via CompositeScore fallback (no active signals): ranked by score using RS_ROC20, RVOL20, Trend_OK, breakout flags. Entry=16199.14 (BELOW), Stop=15868.92 (ATR×1.5), Target=16859.57 (2R). RSI14=58.77 → Neutral (30–70), Golden Bull=0, Bear=0",0.5,0.4,0.6,0.5,0.0,0,NoModel,No OOS data available,PASS,,,Close,Entry at Close (16414.00),Stop 1.5x ATR below entry (ATR=220.14),Target 2.0R from entry (Risk=330.20),16414.0,16414.0,-1.309004508346537,16414.0,16083.800000000001,17074.4,220.14285714285717,330.1999999999989
